ANNO;CODICE REGIONE;DENOMINAZIONE REGIONE;CODICE AZIENDA;DENOMINAZIONE AZIENDA;CODICE COMUNE;COMUNE;MASCHI;FEMMINE;TOTALE
2016;010;PIEMONTE             ;201;TO1;001272;TORINO (Circoscrizioni 1, 2, 3, 8, 9, 10)             ;224.662;246.935;471.597
2016;010;PIEMONTE             ;202;TO2;001272;TORINO (Circoscrizioni 4, 5, 6, 7);197.818;217.422;415.240
2016;010;PIEMONTE             ;203;TO3;001002;AIRASCA                                 ;1.917;1.848;3.765
2016;010;PIEMONTE             ;203;TO3;001006;ALMESE                                  ;3.153;3.270;6.423
2016;010;PIEMONTE             ;203;TO3;001008;ALPIGNANO                               ;8.397;8.641;17.038
2016;010;PIEMONTE             ;203;TO3;001011;ANGROGNA                                ;459;427;886
2016;010;PIEMONTE             ;203;TO3;001013;AVIGLIANA                               ;6.077;6.403;12.480
2016;010;PIEMONTE             ;203;TO3;001022;BARDONECCHIA                            ;1.564;1.609;3.173
2016;010;PIEMONTE             ;203;TO3;001024;BEINASCO                                ;8.759;9.358;18.117
2016;010;PIEMONTE             ;203;TO3;001025;BIBIANA                                 ;1.739;1.728;3.467
2016;010;PIEMONTE             ;203;TO3;001026;BOBBIO PELLICE                          ;273;295;568
2016;010;PIEMONTE             ;203;TO3;001032;BORGONE SUSA                            ;1.110;1.097;2.207
2016;010;PIEMONTE             ;203;TO3;001035;BRICHERASIO                             ;2.262;2.368;4.630
2016;010;PIEMONTE             ;203;TO3;001038;BRUINO                                  ;4.303;4.332;8.635
2016;010;PIEMONTE             ;203;TO3;001040;BRUZOLO                                 ;746;779;1.525
2016;010;PIEMONTE             ;203;TO3;001041;BURIASCO                                ;683;712;1.395
2016;010;PIEMONTE             ;203;TO3;001044;BUSSOLENO                               ;2.892;3.145;6.037
2016;010;PIEMONTE             ;203;TO3;001045;BUTTIGLIERA ALTA                        ;3.127;3.259;6.386
2016;010;PIEMONTE             ;203;TO3;001049;CAMPIGLIONE-FENILE                      ;678;682;1.360
2016;010;PIEMONTE             ;203;TO3;001053;CANTALUPA                               ;1.245;1.316;2.561
2016;010;PIEMONTE             ;203;TO3;001055;CAPRIE                                  ;1.039;1.052;2.091
2016;010;PIEMONTE             ;203;TO3;001062;CASELETTE                               ;1.536;1.513;3.049
